,pixel_r,pixel_g,pixel_b,local_r,local_g,local_b,edges_r,edges_g,edges_b,label
1271,32,45,27,37,45,29,42,50,36,norm_pervious
1272,52,63,46,35,42,27,37,43,29,norm_pervious
1273,40,48,33,43,48,33,51,53,38,norm_pervious
1274,48,64,38,45,51,34,45,48,34,norm_pervious
1275,56,72,46,46,51,36,45,49,36,norm_pervious
1276,37,47,36,39,49,32,37,46,29,norm_pervious
1277,54,66,42,37,46,28,38,44,28,norm_pervious
1278,57,67,43,37,46,28,38,45,28,norm_pervious
1279,59,67,43,44,49,30,38,42,27,norm_pervious
1280,45,50,28,44,52,32,39,44,28,norm_pervious
1281,43,54,38,38,46,29,40,45,29,norm_pervious
1282,20,11,16,30,30,21,40,42,31,shaded_pervious
1283,79,83,82,67,74,65,54,61,52,norm_impervious
1284,66,71,65,70,73,64,55,57,46,norm_impervious
1285,70,72,69,67,72,65,50,56,46,norm_impervious
1286,73,75,70,61,65,55,47,54,43,norm_impervious
1287,74,76,73,58,60,53,49,52,44,norm_impervious
1288,69,66,49,62,62,50,45,49,39,dry_pervious
1289,80,80,68,70,71,57,60,50,39,dry_pervious
1290,134,113,86,117,102,78,74,68,52,dry_pervious
1291,120,104,81,113,101,81,82,78,61,dry_pervious
1292,115,103,81,110,99,80,81,76,61,dry_pervious
1293,125,109,76,117,102,77,75,69,53,dry_pervious
1294,125,107,85,119,103,79,84,75,59,dry_pervious
1295,122,103,73,117,102,78,73,67,52,dry_pervious
1296,92,75,57,61,60,48,65,66,53,dry_pervious
1297,110,97,78,110,98,78,81,77,60,dry_pervious
1298,107,102,83,108,97,79,83,77,62,dry_pervious
1299,140,119,92,121,105,81,87,78,61,dry_pervious
1300,132,115,87,118,104,80,81,73,57,dry_pervious
1301,32,44,24,37,49,31,41,52,34,norm_pervious
1302,43,55,35,44,56,36,40,51,33,norm_pervious
1303,37,50,33,37,47,34,40,48,37,norm_pervious
1304,68,66,51,58,61,47,53,56,43,dry_pervious
1305,69,67,52,59,62,48,53,55,42,dry_pervious
1306,47,60,43,35,46,32,37,48,33,norm_pervious
1307,49,62,44,44,52,37,41,47,34,norm_pervious
1308,57,73,47,50,57,43,40,47,35,norm_pervious
1309,56,68,48,55,65,49,46,52,41,norm_pervious
1310,50,62,42,44,53,38,42,49,37,norm_pervious
1311,43,56,38,38,48,33,38,47,33,norm_pervious
1312,51,74,46,42,55,37,40,49,37,norm_pervious
1313,56,76,49,41,54,36,38,48,35,norm_pervious
1314,30,41,24,38,49,34,41,50,38,norm_pervious
1315,37,52,31,37,49,33,38,48,34,norm_pervious
1316,83,83,83,61,67,59,45,52,43,norm_impervious
1317,30,31,33,41,46,41,52,60,51,norm_impervious
1318,43,44,46,42,48,42,52,60,51,norm_impervious
1319,61,62,66,52,59,55,50,56,50,norm_impervious
1320,43,43,53,40,46,40,52,58,50,norm_impervious
1321,82,81,86,63,69,63,50,56,49,norm_impervious
1322,70,64,52,62,61,49,46,49,40,dry_pervious
1323,68,65,50,61,61,51,49,52,44,dry_pervious
1324,69,60,53,56,59,44,48,55,39,dry_pervious
1325,77,71,57,57,58,44,48,53,39,dry_pervious
1326,74,68,56,60,60,46,51,54,40,dry_pervious
1327,74,66,53,58,59,45,50,54,40,dry_pervious
1328,66,64,49,55,57,44,47,52,38,dry_pervious
1329,52,70,46,45,55,38,47,54,39,norm_pervious
1330,77,75,63,70,71,57,55,50,39,dry_pervious
1331,86,87,73,76,76,63,61,64,52,dry_pervious
1332,97,103,103,88,93,88,62,66,58,norm_impervious
1333,91,96,92,88,93,88,60,65,57,norm_impervious
1334,93,95,90,90,95,90,62,67,58,norm_impervious
1335,93,98,92,87,92,87,59,64,56,norm_impervious
1336,93,101,90,88,94,87,70,74,67,norm_impervious
